date,fund,company,ticker,shares,market value($),weight(%)
2021-04-01,ARKX,LOCKHEED MARTIN CORP,LMT,41479.0,15326490.5,4.4
2021-04-01,ARKX,MEITUAN-CLASS B,3690,67576.0,2592089.53,0.74
2021-04-01,ARKX,MORGAN STANLEY GOVT INSTL 8035,,27134.93,27134.93,0.01
2021-04-01,ARKX,NETFLIX INC,NFLX,8464.0,4415330.24,1.27
2021-04-01,ARKX,NVIDIA CORP,NVDA,21916.0,11701609.88,3.36
2021-04-01,ARKX,RAVEN INDUSTRIES INC,RAVN,170830.0,6547913.9,1.88
2021-04-01,ARKX,REINVENT TECHNOLOGY-CLASS A,RTP,244925.0,2485988.75,0.71
2021-04-01,ARKX,SPIRIT AEROSYSTEMS HOLD-CL A,SPR,228788.0,11130536.2,3.2
2021-04-01,ARKX,SYNOPSYS INC,SNPS,13847.0,3431009.66,0.99
2021-04-01,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,29650.0,3507002.0,1.01
2021-04-01,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,21580.0,8926567.0,2.57
2021-04-01,ARKX,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,42487.0,3390462.6,0.97
2021-04-01,ARKX,TERADYNE INC,TER,78189.0,9514037.52,2.73
2021-04-01,ARKX,THALES SA,HO,137159.0,13626951.65,3.92
2021-04-01,ARKX,THE 3D PRINTING ETF,PRNT,544570.0,21151098.8,6.08
2021-04-01,ARKX,TRIMBLE INC,TRMB,384832.0,29936081.28,8.6
2021-04-01,ARKX,VIRGIN GALACTIC HOLDINGS INC,SPCE,223746.0,6853339.98,1.97
2021-04-01,ARKX,WORKHORSE GROUP INC,WKHS,267792.0,3687495.84,1.06
2021-04-01,ARKX,XILINX INC,XLNX,27632.0,3423604.8,0.98
2021-04-05,ARKX,AEROVIRONMENT INC,AVAV,59178.0,7062894.3,1.54
2021-04-05,ARKX,AIRBUS SE,AIR,62640.0,7407771.07,1.61
